ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Galicia,Pontevedra,2020,74.4588,6.8348,38
Galicia,Pontevedra,2021,81.6743,7.2155,34
Galicia,Pontevedra,2022,81.8819,0.2076,37
Galicia,Pontevedra,2023,88.4267,6.5448,37
Galicia,Pontevedra,2024,89.9438,1.5171,38
Rioja (La),"Rioja, La",2013,65.0928,,11
Rioja (La),"Rioja, La",2014,69.2241,4.1313,11
Rioja (La),"Rioja, La",2015,71.1647,1.9406,11
Rioja (La),"Rioja, La",2016,71.7226,0.5579,13
Rioja (La),"Rioja, La",2017,76.1651,4.4425,17
Rioja (La),"Rioja, La",2018,86.4017,10.2366,9
Rioja (La),"Rioja, La",2019,85.6182,-0.7835,13
Rioja (La),"Rioja, La",2020,90.7245,5.1063,15
Rioja (La),"Rioja, La",2021,91.6013,0.8768,17
Rioja (La),"Rioja, La",2022,92.5338,0.9325,17
Rioja (La),"Rioja, La",2023,93.9342,1.4004,16
Rioja (La),"Rioja, La",2024,93.6143,-0.3199,25
Castilla Y León,Salamanca,2013,55.5254,,17
Castilla Y León,Salamanca,2014,57.355,1.8296,21
Castilla Y León,Salamanca,2015,57.3339,-0.0211,23
Castilla Y León,Salamanca,2016,59.3538,2.0199,25
Castilla Y León,Salamanca,2017,63.1495,3.7957,25
Castilla Y León,Salamanca,2018,65.6873,2.5378,31
Castilla Y León,Salamanca,2019,67.3304,1.6431,38
Castilla Y León,Salamanca,2020,72.652,5.3216,41
Castilla Y León,Salamanca,2021,66.2332,-6.4188,47
Castilla Y León,Salamanca,2022,68.8664,2.6332,47
